Collecting coverage data at Fri Dec 27 07:20:23 AM UTC 2024
Reading tracefile /home/yilegu/squint/pm-cc-bug-finder/targets/leveldb-bug-1/code_coverage/filtered_coverage.info
Coverage data collected.
Collecting coverage data at Fri Dec 27 07:20:24 AM UTC 2024
Reading tracefile /home/yilegu/squint/pm-cc-bug-finder/targets/leveldb-bug-1/code_coverage/filtered_coverage.info
                                       |Lines       |Functions  |Branches    
Filename                               |Rate     Num|Rate    Num|Rate     Num
=============================================================================
[/home/yilegu/squint/bug_study/leveldb-1/leveldb/]
db/builder.cc                          |89.5%     38| 100%     1|    -      0
db/db_impl.cc                          |38.9%    913|48.1%    54|    -      0
db/db_impl.h                           | 100%      8| 100%     3|    -      0
db/db_iter.cc                          | 0.0%    153| 0.0%    19|    -      0
db/dbformat.cc                         |42.4%     85|41.7%    12|    -      0
db/dbformat.h                          |52.8%     36|61.1%    18|    -      0
db/filename.cc                         |87.3%     71|91.7%    12|    -      0
db/log_reader.cc                       |43.1%    153|50.0%    10|    -      0
db/log_writer.cc                       |92.7%     55| 100%     4|    -      0
db/memtable.cc                         |61.6%     73|73.7%    19|    -      0
db/memtable.h                          | 100%      8| 100%     3|    -      0
db/skiplist.h                          |69.6%    115|78.3%    23|    -      0
db/snapshot.h                          |19.0%     21|20.0%     5|    -      0
db/table_cache.cc                      |69.3%     75|75.0%     8|    -      0
db/version_edit.cc                     |42.4%    172|50.0%     6|    -      0
db/version_edit.h                      |83.8%     37|81.8%    11|    -      0
db/version_set.cc                      |42.1%    848|39.1%    69|    -      0
db/version_set.h                       |69.0%     29|60.0%    15|    -      0
db/write_batch.cc                      |81.5%     81|82.4%    17|    -      0
db/write_batch_internal.h              | 100%      4| 100%     2|    -      0
include/leveldb/cache.h                | 100%      1| 100%     1|    -      0
include/leveldb/db.h                   | 100%      1| 100%     1|    -      0
include/leveldb/env.h                  |15.8%     38|25.0%    24|    -      0
include/leveldb/options.h              | 0.0%      8| 0.0%     2|    -      0
include/leveldb/slice.h                |87.5%     32|80.0%    15|    -      0
include/leveldb/status.h               |27.3%     22|27.3%    11|    -      0
include/leveldb/table.h                | 100%      1| 100%     1|    -      0
include/leveldb/table_builder.h        | 100%      1| 100%     1|    -      0
port/atomic_pointer.h                  | 100%     15| 100%     7|    -      0
port/port_posix.cc                     |69.2%     26|81.8%    11|    -      0
port/port_posix.h                      |60.0%     10|50.0%     4|    -      0
table/block.cc                         |22.6%    137|33.3%    21|    -      0
table/block.h                          | 0.0%      1| 0.0%     1|    -      0
table/block_builder.cc                 | 100%     49| 100%     5|    -      0
table/block_builder.h                  | 100%      2| 100%     1|    -      0
table/filter_block.cc                  | 0.0%     65| 0.0%     7|    -      0
table/format.cc                        |62.9%     89| 100%     5|    -      0
table/format.h                         | 100%     16| 100%    10|    -      0
table/iterator.cc                      |44.7%     38|18.8%    16|    -      0
table/iterator_wrapper.h               |63.0%     27|40.0%    15|    -      0
table/merger.cc                        | 0.0%    103| 0.0%    15|    -      0
table/table.cc                         |28.8%    153|41.7%    12|    -      0
table/table_builder.cc                 |81.5%    151|76.9%    13|    -      0
table/two_level_iterator.cc            |18.6%     86|27.8%    18|    -      0
util/arena.cc                          |94.4%     36| 100%     5|    -      0
util/arena.h                           | 100%     10| 100%     2|    -      0
util/cache.cc                          |72.8%    162|84.4%    32|    -      0
util/coding.cc                         |68.8%    112|93.8%    16|    -      0
util/coding.h                          | 100%     13| 100%     3|    -      0
util/comparator.cc                     | 100%     34|88.9%     9|    -      0
util/crc32c.cc                         | 100%     18| 100%     2|    -      0
util/crc32c.h                          | 100%      7| 100%     3|    -      0
util/env.cc                            |78.6%     56|47.4%    19|    -      0
util/env_posix.cc                      |69.7%    320|79.3%    58|    -      0
util/filter_policy.cc                  | 100%      1|50.0%     2|    -      0
util/hash.cc                           |59.1%     22| 100%     1|    -      0
util/logging.cc                        |30.2%     43|16.7%     6|    -      0
